# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F560Wmag  F770Wmag  F1000Wmag  F1130Wmag  F1280Wmag  F1500Wmag  F1800Wmag  F2100Wmag  F2550Wmag
0.0152 0.01508 8.04003 5.1179094315 2.6146597862    4.859  4.412  3.4983 -0.342    8  0.881  0.398   612.12   236.82   147.85   113.03    93.55  2 -8.35e-06      0.24 6.163e-01 3.683e-01 1.606e-03 3.318e-03 5.377e-03 -1.000 1.533e-02 -6.259 -10.152 -10.473 -11.986 -12.374 -12.319 -12.293 -12.392 -12.413 -12.541
0.0152 0.01508 8.04003 5.1179237366 2.6146597862    4.852  4.421  3.4970 -0.357    8  0.881  0.397   635.86   243.26   151.68   116.02    96.02  2 -9.21e-06      0.28 6.163e-01 3.683e-01 1.601e-03 3.325e-03 5.376e-03 -1.000 1.533e-02 -6.281 -10.227 -10.561 -12.098 -12.488 -12.437 -12.414 -12.517 -12.540 -12.668
0.0152 0.01508 8.04003 5.1179413795 2.6146600246    4.844  4.427  3.4959 -0.368    8  0.881  0.396   654.60   248.26   154.65   118.33    97.94  2 -9.92e-06      0.31 6.163e-01 3.683e-01 1.596e-03 3.333e-03 5.375e-03 -1.000 1.533e-02 -6.298 -10.283 -10.628 -12.184 -12.574 -12.526 -12.507 -12.612 -12.637 -12.765
0.0152 0.01508 8.04003 5.1179633141 2.6146600246    4.835  4.434  3.4950 -0.379    8  0.882  0.393   672.96   253.10   157.52   120.57    99.80  2 -1.07e-05      0.33 6.163e-01 3.683e-01 1.589e-03 3.343e-03 5.374e-03 -1.000 1.534e-02 -6.314 -10.339 -10.695 -12.269 -12.661 -12.616 -12.600 -12.707 -12.734 -12.862
0.0152 0.01508 8.04003 5.1179633141 2.6146600246    4.834  4.628  3.4683 -0.681    8  0.882  0.394  1506.12   436.66   265.18   204.61   169.58  2 -8.12e-05      2.83 6.163e-01 3.683e-01 1.589e-03 3.344e-03 5.374e-03 -1.000 1.534e-02 -6.801 -12.122 -12.687 -14.032 -14.388 -14.559 -14.777 -15.050 -15.180 -15.339
0.0152 0.01508 8.04003 5.1179637909 2.6146600246    4.833  4.602  3.4719 -0.640    8  0.882  0.394  1345.64   405.55   247.10   190.46   157.82  2 -6.17e-05      2.16 6.163e-01 3.683e-01 1.588e-03 3.344e-03 5.374e-03 -1.000 1.534e-02 -6.735 -11.877 -12.420 -13.883 -14.252 -14.376 -14.544 -14.779 -14.886 -15.036
0.0152 0.01508 8.04003 5.1179652214 2.6146600246    4.833  4.548  3.4792 -0.557    8  0.882  0.394  1073.30   348.85   214.00   164.58   136.33  2 -3.52e-05      1.20 6.163e-01 3.683e-01 1.587e-03 3.346e-03 5.374e-03 -1.000 1.534e-02 -6.600 -11.357 -11.851 -13.479 -13.868 -13.914 -13.997 -14.170 -14.241 -14.377
0.0152 0.01508 8.04003 5.1179676056 2.6146600246    4.831  4.468  3.4901 -0.434    8  0.882  0.393   774.53   279.18   172.99   132.60   109.78  2 -1.53e-05      0.46 6.163e-01 3.683e-01 1.585e-03 3.348e-03 5.374e-03 -1.000 1.534e-02 -6.400 -10.610 -11.013 -12.679 -13.079 -13.047 -13.046 -13.165 -13.199 -13.328
0.0152 0.01508 8.04003 5.1179718971 2.6146600246    4.829  4.357  3.5052 -0.262    8  0.882  0.393   500.22   204.83   128.70    98.21    81.24  2 -4.82e-06      0.16 6.163e-01 3.683e-01 1.582e-03 3.352e-03 5.374e-03 -1.000 1.534e-02 -6.122 -9.838 -10.111 -11.495 -11.871 -11.810 -11.775 -11.864 -11.880 -12.007
0.0152 0.01508 8.04003 5.1179780960 2.6146602631    4.825  4.394  3.5001 -0.320    8  0.882  0.391   578.17   227.27   142.13   108.63    89.88  2  -7.1e-06      0.19 6.163e-01 3.683e-01 1.577e-03 3.359e-03 5.374e-03 -1.000 1.534e-02 -6.214 -10.028 -10.328 -11.803 -12.189 -12.129 -12.096 -12.190 -12.209 -12.336
