# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.64583 4350 1 1237667254528245767 125.192090 13246 192.7 2.3 0.12 0.06 0.56 0.01 13.65 0.01 Dprop Sloan 1.61 0.88 -23.06 0.08 1.15 0.11 11.18 0.09 11.25 0.01 11.32 0.03 0.66 0.02 0.62 0.02 0.11 0.11 10.31 0.05 2.185014 0.29052 -106.4 150.9 55.2 1
16.64639 720821 1 1237665549974765623 241.404590 12205 175.6 2.4 0.12 0.06 0.80 0.09 19.61 0.03 Dprop Sloan 0.00 0.00 -16.67 0.05 0.47 0.06 8.15 0.05 8.96 0.02 "" "" -0.71 0.18 -0.14 0.04 "" "" 9.91 0.05 -2.069880 0.29053 -80.5 -147.7 50.3 1
16.64639 172528 1 1237664875113742495 117.195420 15043 217.9 2.2 0.09 0.05 0.97 0.01 16.21 0.01 Dprop Sloan 0.92 0.53 -20.54 0.03 0.89 0.03 9.99 0.03 10.22 0.01 10.14 0.04 -0.15 0.09 0.02 0.04 0.05 0.09 9.80 0.06 2.045446 0.29053 -95.4 185.7 62.4 1
16.64639 720821 1 1237665549974765623 241.404590 12205 175.6 2.4 0.12 0.06 0.80 0.09 19.61 0.03 Dprop Sloan 0.00 0.00 -16.67 0.05 0.47 0.06 8.15 0.05 8.96 0.02 "" "" -0.71 0.18 -0.14 0.04 "" "" 9.91 0.05 -2.069880 0.29053 -80.5 -147.7 50.3 1
16.64639 172528 1 1237664875113742495 117.195420 15043 217.9 2.2 0.09 0.05 0.97 0.01 16.21 0.01 Dprop Sloan 0.92 0.53 -20.54 0.03 0.89 0.03 9.99 0.03 10.22 0.01 10.14 0.04 -0.15 0.09 0.02 0.04 0.05 0.09 9.80 0.06 2.045446 0.29053 -95.4 185.7 62.4 1
16.65000 717096 1 1237667538000609575 134.316240 6194 92.5 2.2 0.07 0.04 0.92 0.01 16.88 0.01 Dprop Sloan 0.12 0.15 -17.99 0.05 0.60 0.04 8.77 0.03 9.04 0.02 8.80 0.04 -1.73 0.36 -1.08 0.05 -1.01 0.05 8.99 0.07 2.344261 0.29060 -61.9 63.4 26.5 1
16.65055 241676 1 1237668298756522275 222.312910 11731 170.3 2.2 0.09 0.05 0.92 0.01 14.91 0.01 Dprop Sloan 1.23 0.64 -21.32 0.03 0.76 0.04 10.21 0.03 10.55 0.01 10.30 0.05 0.28 0.02 0.37 0.03 0.40 0.08 9.97 0.05 -2.403093 0.29061 -120.7 -109.8 48.8 1
16.65222 1 1 1237679455462228052 0.656670 5839 82.8 2.2 0.11 0.06 0.77 0.01 15.07 0.01 Dprop Sloan 0.73 0.39 -19.62 0.07 0.48 0.06 9.34 0.05 9.78 0.02 "" "" "" "" "" "" "" "" 9.67 0.05 0.011461 0.29064 79.3 0.9 23.7 1
16.65306 743031 1 1237668624093544680 202.548750 9055 133.3 2.3 0.07 0.04 0.85 0.03 16.90 0.03 Dprop Sloan 0.52 0.26 -18.78 0.05 0.28 0.05 8.86 0.04 7.58 0.18 "" "" "" "" "" "" "" "" 9.41 0.06 -2.748043 0.29065 -117.9 -49.0 38.2 1
16.65417 739499 1 1237670963782418527 157.736250 6083 91.6 2.3 0.08 0.04 0.59 0.02 17.41 0.01 Dprop Sloan 0.06 0.07 -17.46 0.09 0.11 0.10 8.21 0.08 8.72 0.02 8.28 0.02 -1.14 0.12 -0.80 0.03 -0.73 0.01 9.12 0.06 2.753017 0.29067 -81.2 33.2 26.3 1
